latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,type,horizontalError,depthError,magError,magNst
62.6285,-149.4025,59.5,2.1,ml,20.0,88.0,0.05971,0.6,EARTHQUAKE,0.48,1.5,0.159,12.5
36.19916667,-95.85183333,0.0,1.29,ml,64.0,105.0,0.4778062381,0.63,quarry blast,0.48,0.6,0.21,23.0
38.8246650695801,-122.851997375488,2.32999992370605,0.32,md,6.0,175.0,0.004772,0.01,earthquake,1.04,1.62,0.2,8.0
60.48,-152.660833333333,5.32,-0.64,ml,4.0,284.0,0.01865,0.15,EARTHQUAKE,1.06,1.05,0.265871427012721,4.0
31.567,-104.13,6.1127,1.9,ml,34.0,66.0,0.0,0.1,earthquake,0.47929253939937,0.3586638700426591,0.1,18.0
19.3548333333333,-155.1075,4.07,0.57,md,7.0,249.0,0.03433,0.29,earthquake,2.04,31.61,0.157558984205009,5.0
31.534,-104.019,6.9202,1.8,ml,40.0,57.0,0.0,0.2,EARTHQUAKE,0.693051080432655,0.4813886499292533,0.2,18.0
49.306,-122.631,-0.67,1.6,md,14.0,137.0,0.4725,0.19,explosion,0.55,31.61,0.1164360464154934,9.0
31.682,-104.407,6.0999,1.5,ml,29.0,68.0,0.0,0.2,earthquake,1.1343254784144845,0.5444611058145432,0.2,14.0
33.5858333,-116.6316667,13.55,1.4,ml,73.0,28.0,0.01914,0.2,earthquake,0.15,0.26,0.166,27.0
38.4583,-116.5099,9.6,2.3,ml,8.0,152.48000000000002,0.492,0.1508,earthquake,0.48,3.6,0.18,4.0
56.8532,-157.5889,124.3,2.2,ml,20.0,88.0,0.05971,0.57,EARTHQUAKE,0.48,1.2,0.159,12.5
58.2493,-154.9184,1.1,0.8,ml,20.0,88.0,0.05971,0.57,EARTHQUAKE,0.48,1.1,0.159,12.5
33.0293333,-116.2933333,6.39,0.96,ml,43.0,56.0,0.075,0.17,earthquake,0.17,0.62,0.133,18.0
40.2869987487793,-124.455833435059,18.4699993133545,1.73,md,9.0,299.0,0.08664,0.05,earthquake,3.51,2.11999989,0.08,3.0
39.0201666666667,-111.393833333333,-3.17,0.99,ml,6.0,124.0,0.0354,0.05,earthquake,0.56,1.08,0.442768200457113,3.0
38.7594985961914,-122.733001708984,1.53999996185303,1.86,md,26.0,65.0,0.006699,0.04,earthquake,0.22,0.280000001,0.13,30.0
33.0261667,-116.2931667,7.04,1.16,ml,50.0,40.0,0.07188,0.2,earthquake,0.18,0.51,0.146,28.0
53.228,159.6399,68.939,4.6,mb,45.0,133.0,0.631,0.99,earthquake,12.07,7.356,0.058,89.0
31.466,-103.834,4.2926,2.6,ml,50.0,55.0,0.1,0.2,EARTHQUAKE,0.4563584106937792,0.7717280961109368,0.2,25.0
-19.889,-69.1463,107.137,4.2,mb,20.0,118.0,0.251,0.74,earthquake,6.58,4.747,0.136,15.0
57.6474,-155.3896,9.7,2.2,ml,20.0,88.0,0.05971,0.23,EARTHQUAKE,0.48,1.0,0.159,12.5
13.8036,39.8729,10.0,4.3,mb,25.0,172.0,3.678,0.68,earthquake,7.66,1.864,0.125,18.0
31.93,-115.0888333,1.37,2.28,ml,14.0,92.0,0.2589,0.25,earthquake,0.41,1.61,0.193,25.0
34.0086667,-116.7808333,11.41,1.03,ml,47.0,39.0,0.03462,0.13,EARTHQUAKE,0.16,0.39,0.148,35.0
33.3628333,-116.699,12.27,0.78,ml,55.0,28.0,0.1156,0.18,EARTHQUAKE,0.16,0.46,0.084,26.0
64.2808,-147.0593,8.5,2.2,ml,20.0,88.0,0.05971,0.37,earthquake,0.48,0.2,0.159,12.5
31.525,-104.021,7.2791,1.0,ml,21.0,60.0,0.0,0.1,earthquake,0.8575562892822564,0.7639696907337648,0.2,19.0
31.614,-104.0,7.7661,1.3,ml,15.0,57.0,0.0,0.1,earthquake,0.6745044277004276,1.1031254116219231,0.1,18.0
